institution_id,myjkkn_institution_id,course_code,course_name,coe_course_id,action
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAED1,EDC-I-PRINCIPLES OF INFORMATION TECHNOLOGY,acc84119-1adf-4f45-9cbc-1a36721ef666,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAED4,EDC-II-WEB DESIGNING,dcce50e2-65cb-4eac-81ec-fa2b2b794ccd,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAED5,"EDC-I, MULTIMEDIA AND ITS APPLICATIONS",8bc8210b-e01c-4b6f-8159-bdd909bce946,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP01,ELECTIVE-II-DATA ENGINEERING AND MANAGEMENT LAB,94a44c33-f2f4-4338-aea1-eb48f3794b62,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP02,ELECTIVE-II-ARCHITECTURE AND FRAME WORKS LAB,ea07acfa-cc73-47c2-8123-2530b5abec1d,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP03,ELECTIVE-II-SOFTWARE DEVELOPMENT TECHNOLOGIES LAB,a9900630-5bdf-4837-b800-c8f0811d7a40,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP04,ELECTIVE-II-SOFT COMPUTING LAB,9af2b521-6489-43af-9111-3d61161d3874,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP05,ELECTIVE-IV-INTERNET OF THINGS LAB,e0b3b28e-bf48-4e41-ab17-7bf14108d856,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP06,ELECTIVE-IV-COMPUTER VISION LAB,ae42c819-4da2-43d5-a732-10decdd8725b,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP07,ELECTIVE-IV-CYBER SECURITY LAB,dc3d71d3-2220-4781-a3d6-13f3ddececaf,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP08,ELECTIVE-IV-BLOCK CHAIN TECHNOLOGIES LAB,a4448254-939f-4d3f-aa3e-004db7ec3594,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP09,ELECTIVE-VI-SOCIAL NETWORKS LAB,dea961a3-a09c-4d00-9f58-7b53037b1739,create
