chapter_name,institution_name,academic_year,description,chapter_chair_name,chapter_chair_email,co_chair_1_name,co_chair_1_email,co_chair_2_name,co_chair_2_email
YUVA JKKN Dental,JKKN Dental College and Hospital,2025-26,YUVA Chapter for Dental College,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
YUVA JKKN Engineering,JKKN College of Engineering and Technology,2025-26,YUVA Chapter for Engineering,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
YUVA JKKN Pharmacy,JKKN College of Pharmacy,2025-26,YUVA Chapter for Pharmacy,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
YUVA JKKN Allied Health,JKKN College of Allied Health Sciences,2025-26,YUVA Chapter for Allied Health Sciences,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
YUVA JKKN Arts (Aided),JKKN College of Arts and Science (Aided),2025-26,YUVA Chapter for Arts and Science (Aided),<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
YUVA JKKN Arts (Self),JKKN College of Arts and Science (Self),2025-26,YUVA Chapter for Arts and Science (Self),<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
YUVA JKKN Nursing,JKKN College of Nursing and Research,2025-26,YUVA Chapter for Nursing,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
YUVA JKKN Education,JKKN College of Education,2025-26,YUVA Chapter for Education,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>,<FILL>
